adId,link,price,pricePerMeter,area,photo,dateCreated,pushedUpAt,isPrivateOwner,date
63227980,https://www.otodom.pl/pl/oferta/mieszkanie-m2-25m2-balkon-ID4hiu8,170000,6800,25.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InppYnBnODB0bHI0MTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.qJzzbLGuDIESSG1i_LpcIkhkkMpUTnCXZCZhMs7RCEc/image;s=1280x1024;q=80,2022-12-29 21:07:40,2022-12-29T21:07:40+01:00,True,2023-01-06
63732800,https://www.otodom.pl/pl/oferta/mieszkanie-38-m2-po-generalny-remoncie-balkon-ID4jpOo,299900,7892,38.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImV4dnRzcGxxbTFpejItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.DvENcp55LCuCKeuaGHQMorcGuijcDSUjvTqq-ipgLbI/image;s=1280x1024;q=80,2022-12-29 17:49:04,2022-12-29T17:49:04+01:00,True,2023-01-06
63688851,https://www.otodom.pl/pl/oferta/znow-dostepne-sprzedam-przytulne-m3-na-piaskach-ID4jenx,295000,9219,32.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imx0MTN4Y3p3Y2F4OTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.e4LUqwgmS9L5ys1QVpwom_hJ5XjiSSCDoSuu1vSD6ks/image;s=1280x1024;q=80,2022-12-28 22:46:58,2022-12-28T22:46:58+01:00,True,2023-01-06
63803207,https://www.otodom.pl/pl/oferta/mieszkanie-trzypokojowe-45-m2-po-remoncie-piaski-ID4jI7Z,399000,8867,45.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InV5aTVuMm0xaDh5dzItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.kAlP8caNWiGIuxXVYB2_IjX73uhXUhQAUVyfs3gIOJM/image;s=1280x1024;q=80,2022-12-28 18:19:59,,True,2023-01-06
63728367,https://www.otodom.pl/pl/oferta/super-lokalizacja-i-pietro-po-remoncie-bugaj-ID4joET,369000,7672,48.1,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InMydW1vMDRudTdlbDEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.aGm9X8dKvYmZkh4-IkHTCqniNtBaxIqKZjnpn5eQ0Pw/image;s=1280x1024;q=80,2022-12-28 15:10:59,2022-12-28T15:10:59+01:00,True,2023-01-06
63753626,https://www.otodom.pl/pl/oferta/super-apartment-w-rewelacyjnej-cenie-pabianice-ID4jwei,680000,7543,90.15,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imtud3Fqbnk3ZmFpYTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.C4YYcnoYUpTnokXSnbMgTmqD6sZdqkGbpxQuNkP77Sw/image;s=1280x1024;q=80,2022-12-28 14:22:46,2022-12-28T14:22:46+01:00,False,2023-01-06
62883557,https://www.otodom.pl/pl/oferta/pod-77-nowoczesne-mieszkanie-nr-20-ID4fQSW,415568,7600,54.68,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Iml3MXQwOTU2NHkwcS1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.oPDJ5yMqW5456UbYs8dAnHoHeVkYejIeYNCZ6YItueI/image;s=1280x1024;q=80,2022-12-27 17:07:05,2022-12-27T17:07:05+01:00,False,2023-01-06
62902322,https://www.otodom.pl/pl/oferta/pod-77-nowoczesne-mieszkanie-nr-15-ID4fWLA,503956,7600,66.31,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFlZDRjdDl3M3VuMTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.pviMuE3c8Asf0eoebi3ne9U4mLBJVAQwl6V_YBB-OuA/image;s=1280x1024;q=80,2022-12-23 19:00:11,2022-12-23T19:00:12+01:00,False,2023-01-06
62902321,https://www.otodom.pl/pl/oferta/pod-77-nowoczesne-mieszkanie-nr-14-rezerwacja-ID4fWLz,430388,7600,56.63,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjV5cGhodzI5OGhrMDItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.ZwyAaI2LXtfCM6PKWktSrK90TjAQcRDIbyKp2TWHFTc/image;s=1280x1024;q=80,2022-12-22 19:00:25,2022-12-22T19:00:25+01:00,False,2023-01-06
62902309,https://www.otodom.pl/pl/oferta/pod-77-nowoczesne-mieszkanie-nr-13-ID4fWLn,511860,7600,67.35,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxmNWNuZ3M2Y3Rrbi1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.-k34gEHqEdRUjZZK1qslIwhOLxMKlCSC08b4P2b1A8M/image;s=1280x1024;q=80,2022-12-21 19:00:21,2022-12-21T19:00:21+01:00,False,2023-01-06
